Quarter,Dept,Business area or arms length body,Contract Title and description,Supplier,KPI name and description,Good target,Rating,Can this KPI be published,Comments
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS England,PHCO_ICT_National Breast Screening System,Hitachi Digital Services UK Limited,Quantity of aged service requests (% at the end of each service review period),<25%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS Business Services Authority,Compendia Support and Maintenance,Claybrook Computing Limited,KP2 Payroll Incidents,"90% of all Payroll incidents shall be Resolved in the same business day
Service Threshold
No Payroll Incident shall be unresolved, (or a Resolution that prevents running of Payroll) for more than 5 business days",Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,Food Standards Agency,Delivery of Official Controls in Approved Establishments  in England and Wales : Lot 5,Eville and Jones,"Service provision: the availability and attendance of Supplier Personnel to deliver the Deliverables, including in accordance with agreed notice periods set out in Schedule 2 (Specification).",>97% but <99%,Good,Yes,approved
FY25-26 Q4 Jan-Feb-Mar,DHSC,Food Standards Agency,Delivery of Official Controls in Approved Establishments  in England and Wales : Lot 4,HallMark Official Controls,"Social Value : Progression of Supplier Personnel - The percentage of companywide headcount that progresses through internal opportunities, measured and reported quarterly as this is a Cabinet Office requirement.",>2%,Good,Yes,approved
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS Business Services Authority,Compendia Support and Maintenance,Claybrook Computing Limited,"KP3 Response to Change Requests. Responses to
Changes (may include
CCN, Functional Changes, etc",All proposals to be received on or before agreed timeframes.,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,Ambulance Radio Programme,National Mobilisation Application & Associated Services,Terrafix Limited,KPI4: System Response Times within 2 seconds,>=99.99%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,Food Standards Agency,Delivery of Official Controls in Approved Establishments  in England and Wales : Lot 9,Eville and Jones,"Service provision: the availability and attendance of Supplier Personnel to deliver the Deliverables, including in accordance with agreed notice periods set out in Schedule 2 (Specification).",>97% but <99%,Good,Yes,approved
FY25-26 Q4 Jan-Feb-Mar,DHSC,Food Standards Agency,Delivery of Official Controls in Approved Establishments  in England and Wales : Lot 8,HallMark Official Controls,"Service provision: the availability and attendance of Supplier Personnel to deliver the Deliverables, including in accordance with agreed notice periods set out in Schedule 2 (Specification).",>97% but <99%,Good,Yes,approved
FY25-26 Q4 Jan-Feb-Mar,DHSC,Ambulance Radio Programme,Vehicle Hardware & Associated Goods and Services,Terrafix Limited,KPI5: Product Failure Rates,<=2.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS England,Domain Name Server (DNS) Service,Insight Direct (UK) Ltd,Service Availability,>=99.999%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS Business Services Authority,Network Enhancement and Modernisation,Virgin Media Business Ltd,"£50,000 Apprenticeship Levy Transfer",N/A,Other - Consider returned,Yes,Not to be submitted this period.
FY25-26 Q4 Jan-Feb-Mar,DHSC,Food Standards Agency,Delivery of Official Controls in Approved Establishments  in England and Wales : Lot 4,HallMark Official Controls,Delivery of Official Controls and the required services,>97% but <99%,Good,Yes,approved
FY25-26 Q4 Jan-Feb-Mar,DHSC,Food Standards Agency,Delivery of Official Controls in Approved Establishments  in England and Wales : Lot 5,Eville and Jones,Delivery of Official Controls and the required services,>97% but <99%,Good,Yes,approved
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS Business Services Authority,Insight Cloud Services (Oracle Universal Credits),ORACLE CORPORATION UK LIMITED,Availability of the system,>=99.95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,Food Standards Agency,Delivery of Official Controls in Approved Establishments  in England and Wales : Lot 7,Eville and Jones,Delivery of Official Controls and the required services,>97% but <99%,Approaching Target,Yes,approved
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS Business Services Authority,Facilities Management Services,"Robertson Facilities
Management Ltd","Sustainability & Social Value
SSV M4

Supplier to ensure 50% of all sub-contracted works are let to Small and Medium Sized Enterprises (SME's)",95%-100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS Business Services Authority,DDaT Capability,Mastek (UK) Ltd.,"KPI2 - Achievement of Fixed Price or Capped Time & Materials SOW within initial agreed time/cost. (or time/cost agreed by both Parties where scope has changed and recorded with a CCN),",90%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHSE-Transformation-IT Core Infrastructure,CRM Development,Cognizant Wordlwide Limited,Rate from 1 – 5 current relationship between the parties,3-5,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,Food Standards Agency,Delivery of Official Controls in Approved Establishments  in England and Wales : Lot 4,HallMark Official Controls,"Service provision: the availability and attendance of Supplier Personnel to deliver the Deliverables, including in accordance with agreed notice periods set out in Schedule 2 (Specification).",>97% but <99%,Good,Yes,approved
FY25-26 Q4 Jan-Feb-Mar,DHSC,Ambulance Radio Programme,HSCN Access Services,Exponential-e,"An incident will be raised,
within 30 mins following
the Customer
reporting or systems
alerting and confirming a
Service impacting or
resilience impacting event,
100%; Severe KPI Failure 99.99%",100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS Business Services Authority,Public Cloud Services- AWS,"AMAZON EU SARL, UK BRANCH",AWS RDS (Multi-AZ DB Instance and Multi-AZ DB Cluster) Monthly Uptime Percentage,Greater than 99.95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,HRA,Pega Licenses and Support,Pegasystems Limited,KPI1 - Monthly Uptime % - uptime of the Pega Cloud Production Environment,>99.95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,Food Standards Agency,Delivery of Official Controls in Approved Establishments  in England and Wales : Lot 9,Eville and Jones,"Social Value : Progression of Supplier Personnel - The percentage of companywide headcount that progresses through internal opportunities, measured and reported quarterly as this is a Cabinet Office requirement.",>2%,Good,Yes,approved
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS Business Services Authority,Contingent Labour,Alexander Mann Solutions Ltd,Professional Interims - Time to complete,<25,Good,Yes,No Professional Interim activity during this period
FY25-26 Q4 Jan-Feb-Mar,DHSC,UKHSA,2025/26 COVID-19 Adult Contract,Aventis Pharma Limited T/a Sanofi,Product Quality - % of doses rejected for quality reasons,0%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHSE-Transformation-IT Core Infrastructure,Cloud Service Delivery Partner (CSDP),Softcat PLC,Reporting timeliness and accurracy,Are all reports sent and received on time,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHSE - Vaccinations & Screening,Digital Prevention Services - Emerging & Cross Cutting,Kainos Software Limited,All Supplier capabilities delivering Services for the Contract are performing to the expected standard for the skill-set supplied and all Services/Deliverables are to the expected standard,4-5,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,Food Standards Agency,Delivery of Official Controls in Approved Establishments  in England and Wales : Lot 3,Eville and Jones,"Social Value : Progression of Supplier Personnel - The percentage of companywide headcount that progresses through internal opportunities, measured and reported quarterly as this is a Cabinet Office requirement.",>2%,Good,Yes,approved
FY25-26 Q4 Jan-Feb-Mar,DHSC,UKHSA,Interim DevOps Delivery Partner,BURENDO LTD,Delivery performance,Green,Approaching Target,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS ENGLAND,GP Patient Survey 2024-2029,IPSOS (MARKET RESEARCH) LTD,"Achievement of overall sample size of at least 720,000 each survey year (this will be reviewed after year one).","98% or over of the sample size must be achieved (705,600)",Approaching Target,Yes,"702,837 responses received (97.6%)"
FY25-26 Q4 Jan-Feb-Mar,DHSC,DHSC,Information Management Services for IMS4,Entserv UK Ltd,KPI-01: Service Desk Customer Satisfaction,100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,DHSC,DHSC: WIST: Dynamics 365 (D365) Software Support 2025,Hitachi Solutions Europe Ltd,User Admin Requests,"90% actioned within 1 day
(8 hours)",Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,P0565-PL Platforms,API Management,Cognizant Wordlwide Limited,Out of 5 (5 being fully compliant) please rate compliance with contract obligations.,3-5,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,PD Screening Technology,Digital Transformation of Screening,IBM UNITED KINGDOM LIMITED,Social Values,on track and achieved between 99% and 100% of target,Good,Yes,SLA was met for all three months
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS Business Services Authority,Network Enhancement and Modernisation,Virgin Media Business Ltd,Incident Resolution within Maximum resolution Time,4 hours,Requires Improvement,Yes,One issue brought the overall figure down due to an issue. This has since been resolved with details of the issue provided.
FY25-26 Q4 Jan-Feb-Mar,DHSC,UKHSA,UKHSA Wide - SOFT Facilities Management Services,OCS Group UK Limited,"Carry out monthly customer surveys - the Buyer may undertake a satisfaction survey on the cleaning services with Buyer staff.  Where more than 10 responses are received, the responses show a customer satisfaction rate of 90% or over.",>90%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHSE,"Bloomreach - A strategic CMS for external
facing websites",Bloomreach B.V.,"Scheduled Maintenance. Bloomreach will use commercially reasonable efforts to
notify Customer at least 72 hours before any maintenance is performed.",N/A,Good,Yes,SLA met within 3 months
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS England,IPS Expansion,Social Finance Limited,Agree template for annual in-depth workforce report by end of March 2025,90%,Good,Yes,Completed
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS Business Services Authority,HS Prepaid Cards,allpay Limited,"Social Value - allpay will use their donation of £3,000 annually to the Workers Education Association and commit that 25 people per annum (6 per quarter) will complete an activity engaging people into further learning.",6 people per quarter,Good,Yes,"The KPI is a total amount of people per quarter, not an average. 30 people completed an activity this quarter."
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS Business Services Authority,Network Enhancement and Modernisation,Virgin Media Business Ltd,Train 5 women in Data Analysis in partnership with training provider,N/A,Other - Consider returned,Yes,Not to be submitted this period.
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS England,Cyber - Perimeter Security,Accenture (UK) Limited,Availability - Cortex (Palo Alto),99.9%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS Business Services Authority,HS Prepaid Cards,allpay Limited,"99.7% of time systems enabling prepaid activations are fully operational 24 hoours a day, 7 days a week, during the month.",100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,Food Standards Agency,Delivery of Official Controls in Approved Establishments  in England and Wales : Lot 8,HallMark Official Controls,Capability: Supplier has suitably qualified and competent staff to deliver the required services,>97% but <99%,Good,Yes,approved
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS England,Adult Psychiatric Morbidity Survey,NATIONAL CENTRE FOR SOCIAL RESEARCH (NATCEN),"Delivery of the Publication Report - The final report for each Survey Year to be created, signed off and published to the agreed timescales.",On track to meet / have achieved contracted timescales,Good,Yes,KPI not applicable in this quarter. Completed ahead of this period
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS Business Services Authority,"NHS Prescriptions, Cards & Print",XEROX (UK) LIMITED,Delivery Timescale Met - across all product lines,99.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,HRA,"M365, Azure and Other Licenses",Trustmarque Solutions Limited,KPI2 - Problem Solving: Average number of hours taken by Supplier to resolve queries raised by the Buyer.,<24 hours,Inadequate,Yes,"The reason for this failure, according to Trustmarque, is that during the work to return the rectification plan, they have realised that the team managing the queries have different SLAs to what is included in the contract (48 hours vs. the 24-hour required under the contract). For clarity, Trustmarque acknowledge that they did collaborate on the KPIs to include for performance publication and that they had confirmed their acceptance of the KPIs prior to contract signature. This is clearly a failure within their internal processes. It does mean though that this KPI is likely to continue to report failures against the contract requirement; therefore, a discussion is needed with the business to determine if a review of this KPI would be appropriate."
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS England,PHCO_ICT_National Breast Screening System,Hitachi Digital Services UK Limited,Service request response time,</=2 hours,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,Food Standards Agency,Delivery of Official Controls in Approved Establishments  in England and Wales : Lot 8,HallMark Official Controls,Delivery of Official Controls and the required services,>97% but <99%,Approaching Target,Yes,approved
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS Business Services Authority,NHS Pensions Medical Services,Medigold Health Consultancy Ltd,KPI6 Quality measured by % of audited Decisions and/or Advice provided by supplier which are compliant with agreed quality plans,100%,Requires Improvement,Yes,"Feedback provided to individual Medical Advisors at the time, in relation to audit score and areas to improve report quality"
FY25-26 Q4 Jan-Feb-Mar,DHSC,"WORKFORCE, TRAINING & EDUCATION - NATIONAL",National Recruitment Software System,VitalHub UK Limited (Hicom Technologies Limited),"Title: Continuous Improvement to Monitor User Experience Levels

Description:

The Supplier will identify practical steps to develop a method by which a user can measure their experience and satisfaction of the Supplier’s online recruitment portal.

Data must be captured to cover the following categories:

-an applicant’s experience to be recorded immediately after the submission of a job application

-A recruiter or evaluator’s experience following the
closing of a vacancy


The method of capturing this data must be compliant with the WCAG 2.2
Guidance

Reporting Method:

Reviewed Quarterly
The Supplier will provide a quarterly development plan to support the launch of the User Experience Tool within 18 months of the contract start date.

Within three months of implementing the User Experience Tool, the parties agree to introducing a new KPI to adhere to user satisfaction with a
Government Digital Service’s target of ‘Great’. .",100%,Good,Yes,Hicom provided plan to create user experience measure on the system. NHSE not in the position to build currently due to other developments being prioritised at this time. Supplier has met the obligations to satisfy this KPI.
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS Business Services Authority,Lease Car Benefits,Northumbria Healthcare NHS Foundation Trust,Access to Buyer support - The Supplier shall ensure access to a helpdesk customer support service which shall be available Monday to Friday 9am - 5pm (excluding bank holidays),100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DHSC,NHS Business Services Authority,IT Service Management Tooling,Softcat Plc,"Diversity & Inclusion Awareness Campaignes - At least 2 employees of the supplier to deliver the contract that's have attended 2 workshops, totalling of 5 hours, for allyship, stronger together programme.",100%,Other - Consider returned,Yes,Submission for this item is not due within the current Santiago Reporting Period
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - North Yorkshire,Quickline,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 2,Openreach,Progress complete against milestones,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 5,Openreach,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 6,Openreach,"Contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - North Dorset,Wessex Internet,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Cumbria,Fibrus,Stage 2 Build - progress complete against milestones,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Lincs & East Riding,Quickline,Social Value - Community Fund KPI - % of Community Fund allocated over term of contract,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Geospatial Commission,APGB 2024 Lot 1 Data Contract,BLUESKY INTERNATIONAL LIMITED,Con-6271-CO-Website Availability,99%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Geospatial Commission,Public Sector Geospatial Agreement (PSGA),Ordnance Survey Limited,con_4715 - Data Access – Performance of delivery mechanisms that provide access to the National Geographic Database via both APIs (Application programming Interfaces) and Downloads,99.90%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Geospatial Commission,APGB 2024 Lot 1 Data Contract,BLUESKY INTERNATIONAL LIMITED,con_6271-CO- Data Delivery,99%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Geospatial Commission,Public Sector Geospatial Agreement (PSGA),Ordnance Survey Limited,con_4715 - Data relates to the completeness/currency/coverage of the data captured and maintained by Ordnance Survey in the National Geographic Database in line with targets in the service agreement.,88.30%,Other - Consider returned,Yes,“no metric as annual measure” - this is because this group of KPIs is contracted to be reported on as an annual measure as of 31st March. A true performance measure can only be reported at the end of Q4.
FY25-26 Q4 Jan-Feb-Mar,DSIT,Geospatial Commission,Public Sector Geospatial Agreement (PSGA),Ordnance Survey Limited,con_4715 - Data and Services Enhancements - Delivery of the Key Milestones for further enhancements and developments to both the data and access mechanisms associated with the National Geographic Database,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Geospatial Commission,APGB 2024 Lot 1 Data Contract,BLUESKY INTERNATIONAL LIMITED,con_6271-CO-Query Resolution,100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - North Yorkshire,Quickline,Social Value - Community Fund KPI - % of Community Fund allocated over term of contract,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Lincs & East Riding,Quickline,Stage 2 Build - progress complete against milestones,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 6,Openreach,Social Value - Delivery of the agreed number of Work Ready events to clusters of schools in regions benefitting from the infrastructure build.,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Derbyshire,Connect Fibre Ltd,"New jobs in local companies 10 New Roles with contractors.
Roles to be advertised and targeted in the local area on LinkedIn.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - North Oxfordshire,Gigaclear,Stage 2 Build - progress complete against milestones,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Norfolk,CityFibre Ltd,Social Value - CityFibre Community Fund allocated over the term of the contract. Allocated to tackle; Wellbeing; Economic Inequalities and Equal Opportunities.,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 2,Openreach,Social Value - Delivery of the agreed number of Work Ready events to clusters of schools in regions benefitting from the infrastructure build.,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 5,Openreach,Social Value - Delivery of the agreed number of Work Ready events to clusters of schools in regions benefitting from the infrastructure build.,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 7,Openreach,Social Value - Delivery of the agreed number of Work Ready events to clusters of schools in regions benefitting from the infrastructure build.,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - South Wiltshire,Wessex Internet,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - South Yorkshire,Quickline,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Nottingham and Lincolnshire,CityFibre Ltd,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Other - Consider returned,Yes,These scores reflect that this contract is not mobilised and therefore build activity cannot be tracked
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Cambridgeshire,CityFibre Ltd,Social Value - CityFibre Community Fund allocated over the term of the contract. Allocated to tackle; Wellbeing; Economic Inequalities and Equal Opportunities.,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Hampshire,CityFibre Ltd,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - South Wiltshire,Wessex Internet,Social Value - Recruitment process - Direct employment as a result of this contract - 40 new recruits.,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Dorset & South Somerset,Wessex Internet,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Cornwall & Isle of Scilly,Wildanet,Social Value - Apprenticeship Programme - Wildanet to provide opportunities for 10 apprenticeships over term of contract,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 7,Openreach,Progress complete against milestones,90% +,Other - Consider returned,Yes,No milestone for this contract during this quarter
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Leicestershire & Warwickshire,CityFibre Ltd,"Social Value - Community fund spend to support environmental and biodiversity, employment, skills and pay in the workforce, and wellbeing in Leics & Warks.",90% +,Approaching Target,Yes,"Actual spend / expected spend

œ91,000 / œ120,000 = 75%


The Social Value element is currently undergoing a joint review by BDUK and CityFibre. While some KPIs are being met, the review remains ongoing."
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Suffolk,CityFibre Ltd,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Norfolk,CityFibre Ltd,Stage 2 Build - progress complete against milestones,90% +,Other - Consider returned,Yes,No milestone this quarter
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Cambridgeshire,CityFibre Ltd,Stage 2 Build - progress complete against milestones,90% +,Other - Consider returned,Yes,No milestone this quarter
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - North Oxfordshire,Gigaclear,Social Value - Apprenticeship Programme - Gigaclear to provide opportunities for 5 apprenticeships over term of the contract,90% +,Approaching Target,Yes,"The Social Value element is currently undergoing a joint review by BDUK and Gigaclear. While some KPIs are being met, the review remains ongoing."
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - North Dorset,Wessex Internet,Reporting Processes - completeness of reports submitted.,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Kent,CityFibre Ltd,Social Value - People employed both directly and indirectly through build partners or CityFibre over the term of the contract.,90% +,Approaching Target,Yes,"Actual spend / expected spend

œ61,011 / œ77,885 = 78%


The Social Value element is currently undergoing a joint review by BDUK and CityFibre. While some KPIs are being met, the review remains ongoing."
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Dorset & South Somerset,Wessex Internet,Stage 2 Build - progress complete against milestones,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - North Oxfordshire,Gigaclear,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Approaching Target,Yes,"BDUK is working with the supplier to strengthen confidence in the monitored elements informing this score, which is expected to improve over the year."
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 4,Openreach,Social Value - Delivery of the agreed number of Work Ready events to clusters of schools in regions benefitting from the infrastructure build.,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Derbyshire,Connect Fibre Ltd,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Approaching Target,Yes,12 out of 14 reports completed. Remedial work carried out on incomplete reports to improve data quality and reduce likelihood of further instances.
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - North Dorset,Wessex Internet,Social Value - Recruitment process - Direct employment as a result of this contract - 40 new recruits.,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Norfolk,CityFibre Ltd,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Approaching Target,Yes,"CityFibre Ltd financial distress monitoring score remains low, however CityFibre has worked with the credit rating agency to improve the score of the monitored company following the successful completion of it's funding round. BDUK is assessing the impact of this on the overall scores."
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Cambridgeshire,CityFibre Ltd,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Approaching Target,Yes,"CityFibre Ltd financial distress monitoring score remains low, however CityFibre has worked with the credit rating agency to improve the score of the monitored company following the successful completion of it's funding round. BDUK is assessing the impact of this on the overall scores."
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,"Gigabit Infrastructure Subsidy - Bedfordshire, Northamptonshire, Milton Keynes",CityFibre Ltd,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Suffolk,CityFibre Ltd,Social Value - CityFibre Community Fund allocated over the term of the contract. Allocated to tackle; Wellbeing; Economic Inequalities and Equal Opportunities.,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - East / West Sussex,CityFibre Ltd,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Teesdale/Durham,Gofibre,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 2,Openreach,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 3,Openreach,"Contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - New Forest,Wessex Internet,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Northumberland,Gofibre,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
